"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
36,"&#x26a1;","Rhenen",0,1,"&#x2798;"
154,"&#x26a1;","Ridderkerk",3,5,"&#x2798;"
88,"&#x26a1;","Rijssen-Holten",1,9,"&#x279A;"
96,"&#x26a1;","Rijswijk",0,2,"&#x2798;"
57,"&#x26a1;","Roerdalen",0,1,"&#x2798;"
150,"&#x26a1;","Roermond",0,6,"&#x2798;"
165,"&#x26a1;","Roosendaal",2,9,"&#x279A;"
1497,"&#x26a1;","Rotterdam",21,87,"&#x2798;"
0,"&#9989;","Rozendaal",0,0,"-"
61,"&#x26a1;","Rucphen",1,1,"&#x2798;"
88,"&#x26a1;","Schagen",0,2,"&#x2798;"
16,"&#9989;","Scherpenzeel",0,0,"-"
179,"&#x26a1;","Schiedam",2,9,"&#x2798;"
0,"&#9989;","Schiermonnikoog",0,0,"-"
42,"&#x26a1;","Schouwen-Duiveland",0,1,"&#x2798;"
10,"&#x26a1;","Simpelveld",0,1,"-"
46,"&#x26a1;","Sint-Michielsgestel",0,1,"-"
13,"&#x26a1;","Sint Anthonis",0,1,"&#x279A;"
85,"&#x26a1;","Sittard-Geleen",4,6,"&#x279A;"
69,"&#x26a1;","Sliedrecht",0,1,"&#x2798;"
16,"&#x26a1;","Sluis",0,3,"&#x279A;"
82,"&#x26a1;","Smallingerland",1,5,"&#x2798;"
49,"&#128165;","Soest",1,1,"&#x2798;"
37,"&#128165;","Someren",1,1,"&#x279A;"
26,"&#x26a1;","Son en Breugel",0,0,"&#x2798;"
73,"&#x26a1;","Stadskanaal",0,3,"&#x2798;"
19,"&#x26a1;","Staphorst",0,1,"&#x2798;"
49,"&#x1F7E3;","Stede Broec",0,0,"&#x2798;"
47,"&#x26a1;","Steenbergen",0,0,"&#x2798;"
54,"&#x26a1;","Steenwijkerland",1,5,"&#x279A;"
26,"&#128165;","Stein",1,1,"&#x2798;"
112,"&#x26a1;","Stichtse Vecht",1,2,"&#x2798;"
132,"&#x26a1;","Súdwest-Fryslân",3,5,"-"
99,"&#x26a1;","Terneuzen",0,3,"&#x2798;"
8,"&#9989;","Terschelling",0,0,"-"
8,"&#x26a1;","Texel",0,0,"&#x2798;"
49,"&#x26a1;","Teylingen",0,3,"&#x279A;"
65,"&#x26a1;","Tholen",0,4,"-"
102,"&#x26a1;","Tiel",1,6,"&#x279A;"
326,"&#x26a1;","Tilburg",3,17,"&#x2798;"
36,"&#x26a1;","Tubbergen",0,4,"-"
64,"&#x26a1;","Twenterand",0,3,"&#x279A;"
27,"&#128721;","Tynaarlo",0,0,"&#x2798;"
30,"&#x26a1;","Tytsjerksteradiel",0,0,"&#x2798;"
67,"&#x26a1;","Uden",0,3,"&#x2798;"
12,"&#x26a1;","Uitgeest",0,1,"-"
32,"&#x26a1;","Uithoorn",0,1,"&#x279A;"
37,"&#x26a1;","Urk",2,4,"&#x2798;"
404,"&#x26a1;","Utrecht",1,16,"&#x2798;"
61,"&#128165;","Utrechtse Heuvelrug",1,1,"-"
14,"&#x26a1;","Vaals",0,0,"&#x2798;"
17,"&#x26a1;","Valkenburg aan de Geul",0,1,"&#x279A;"
87,"&#x26a1;","Valkenswaard",0,2,"-"
61,"&#x26a1;","Veendam",0,0,"&#x2798;"
82,"&#x26a1;","Veenendaal",2,3,"-"
30,"&#128165;","Veere",1,1,"-"
112,"&#x26a1;","Veldhoven",1,7,"&#x2798;"
110,"&#x26a1;","Velsen",1,3,"&#x2798;"
19,"&#x1F7E3;","Venlo",0,2,"-"
19,"&#x26a1;","Venray",0,2,"&#x279A;"
92,"&#x26a1;","Vijfheerenlanden",1,4,"&#x2798;"
137,"&#x26a1;","Vlaardingen",2,8,"&#x2798;"
0,"&#9989;","Vlieland",0,0,"-"
117,"&#x26a1;","Vlissingen",0,4,"-"
7,"&#9989;","Voerendaal",0,0,"-"
20,"&#x26a1;","Voorschoten",0,2,"-"
27,"&#128165;","Voorst",1,1,"&#x279A;"
33,"&#x26a1;","Vught",0,1,"&#x279A;"
51,"&#x1F7E3;","Waadhoeke",0,0,"&#x2798;"
40,"&#x26a1;","Waalre",0,1,"-"
56,"&#x26a1;","Waalwijk",0,4,"&#x2798;"
28,"&#128165;","Waddinxveen",1,1,"&#x2798;"
