"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
657,"&#x26a1;","Rheden",16,146,"-"
520,"&#x26a1;","Rhenen",25,189,"&#x279A;"
897,"&#x26a1;","Ridderkerk",8,141,"&#x279A;"
888,"&#x26a1;","Rijssen-Holten",28,227,"&#x279A;"
780,"&#x26a1;","Rijswijk",17,167,"&#x279A;"
322,"&#x26a1;","Roerdalen",14,86,"&#x279A;"
966,"&#x26a1;","Roermond",29,212,"&#x279A;"
1579,"&#x26a1;","Roosendaal",35,243,"&#x279A;"
12532,"&#x26a1;","Rotterdam",101,1730,"&#x279A;"
31,"&#x26a1;","Rozendaal",-1,9,"&#x279A;"
432,"&#x26a1;","Rucphen",7,76,"&#x279A;"
694,"&#x26a1;","Schagen",13,119,"&#x279A;"
246,"&#x26a1;","Scherpenzeel",10,92,"&#x279A;"
1826,"&#x1F7E3;","Schiedam",19,196,"&#x2798;"
3,"&#128165;","Schiermonnikoog",1,1,"-"
236,"&#x1F7E3;","Schouwen-Duiveland",4,66,"&#x279A;&#x279A;"
160,"&#x26a1;","Simpelveld",4,42,"-"
517,"&#x26a1;","Sint-Michielsgestel",19,141,"&#x279A;"
170,"&#x26a1;","Sint Anthonis",6,46,"&#x279A;"
1244,"&#x26a1;","Sittard-Geleen",43,361,"&#x279A;"
688,"&#x26a1;","Sliedrecht",31,176,"&#x279A;"
481,"&#x26a1;","Sluis",2,109,"&#x279A;"
313,"&#128721;","Smallingerland",4,75,"&#x279A;"
611,"&#x26a1;","Soest",15,148,"&#x279A;"
339,"&#x26a1;","Someren",5,72,"&#x279A;"
237,"&#x1F7E3;","Son en Breugel",1,38,"&#x279A;"
560,"&#x26a1;","Stadskanaal",20,147,"&#x279A;"
275,"&#x26a1;","Staphorst",10,87,"&#x279A;"
300,"&#x26a1;","Stede Broec",8,103,"&#x279A;&#x279A;"
342,"&#x1F7E3;","Steenbergen",4,59,"&#x279A;"
411,"&#x26a1;","Steenwijkerland",22,120,"&#x279A;"
354,"&#x26a1;","Stein",13,109,"&#x279A;"
1126,"&#x26a1;","Stichtse Vecht",36,239,"&#x279A;"
1299,"&#x26a1;","Súdwest-Fryslân",30,279,"-"
897,"&#x26a1;","Terneuzen",16,185,"&#x279A;"
13,"&#128721;","Terschelling",0,4,"&#x279A;"
47,"&#128721;","Texel",1,11,"&#x279A;"
697,"&#x26a1;","Teylingen",21,203,"&#x279A;&#x279A;"
439,"&#x26a1;","Tholen",9,75,"&#x279A;"
665,"&#x26a1;","Tiel",17,133,"&#x279A;"
4247,"&#x26a1;","Tilburg",119,790,"-"
465,"&#x26a1;","Tubbergen",2,59,"&#x2798;"
750,"&#x26a1;","Twenterand",32,189,"&#x279A;"
161,"&#128721;","Tynaarlo",0,47,"&#x279A;&#x279A;"
173,"&#128721;","Tytsjerksteradiel",5,44,"&#x279A;"
571,"&#x26a1;","Uden",25,125,"-"
270,"&#x26a1;","Uitgeest",12,83,"&#x279A;"
408,"&#x1F7E3;","Uithoorn",5,75,"&#x279A;"
1168,"&#x26a1;","Urk",18,127,"&#x2798;"
4873,"&#x26a1;","Utrecht",142,921,"&#x279A;"
723,"&#x26a1;","Utrechtse Heuvelrug",38,279,"&#x279A;&#x279A;"
112,"&#x1F7E3;","Vaals",0,16,"&#x2798;&#x2798;"
224,"&#x26a1;","Valkenburg aan de Geul",7,64,"&#x279A;"
477,"&#x26a1;","Valkenswaard",9,116,"&#x279A;"
202,"&#x1F7E3;","Veendam",4,61,"&#x2798;"
1738,"&#x26a1;","Veenendaal",63,501,"&#x279A;"
139,"&#x26a1;","Veere",4,55,"&#x279A;&#x279A;"
753,"&#x26a1;","Veldhoven",6,173,"&#x279A;"
1065,"&#x26a1;","Velsen",38,252,"&#x279A;"
1858,"&#x26a1;","Venlo",63,553,"&#x279A;&#x279A;"
906,"&#x26a1;","Venray",48,318,"&#x279A;&#x279A;"
1058,"&#x26a1;","Vijfheerenlanden",49,206,"&#x279A;"
1573,"&#x26a1;","Vlaardingen",8,208,"&#x2798;"
3,"&#9989;","Vlieland",0,0,"-"
289,"&#128721;","Vlissingen",3,45,"&#x279A;"
131,"&#x26a1;","Voerendaal",7,39,"&#x279A;&#x279A;"
314,"&#x26a1;","Voorschoten",8,77,"&#x279A;"
299,"&#x26a1;","Voorst",2,97,"&#x279A;"
676,"&#x26a1;","Vught",15,172,"&#x279A;"
278,"&#x1F7E3;","Waadhoeke",9,80,"&#x279A;"
264,"&#x26a1;","Waalre",0,64,"&#x279A;"
1025,"&#x26a1;","Waalwijk",34,225,"&#x279A;"
532,"&#x26a1;","Waddinxveen",13,114,"-"
550,"&#x26a1;","Wageningen",20,111,"-"
338,"&#x26a1;","Wassenaar",10,82,"-"
273,"&#x26a1;","Waterland",13,74,"&#x279A;"
1363,"&#x26a1;","Weert",80,464,"&#x279A;&#x279A;"
433,"&#x26a1;","Weesp",10,113,"&#x279A;"
1144,"&#x26a1;","West Betuwe",21,234,"-"
203,"&#x1F7E3;","West Maas en Waal",10,47,"&#x279A;"
394,"&#x1F7E3;","Westerkwartier",20,109,"&#x279A;"
135,"&#x1F7E3;","Westerveld",4,30,"&#x279A;&#x279A;"
280,"&#x26a1;","Westervoort",3,59,"&#x279A;"
318,"&#x26a1;","Westerwolde",14,92,"&#x279A;"
2667,"&#x26a1;","Westland",52,599,"&#x279A;"
189,"&#128721;","Weststellingwerf",6,37,"&#x279A;"
132,"&#x1F7E3;","Westvoorne",1,26,"&#x279A;"
737,"&#x26a1;","Wierden",24,150,"&#x279A;"
701,"&#x26a1;","Wijchen",22,227,"&#x279A;&#x279A;"
312,"&#x26a1;","Wijdemeren",9,73,"&#x279A;"
294,"&#x1F7E3;","Wijk bij Duurstede",5,46,"&#x279A;"
389,"&#x1F7E3;","Winterswijk",6,61,"&#x2798;"
324,"&#x1F7E3;","Woensdrecht",7,47,"&#x279A;"
999,"&#x26a1;","Woerden",22,210,"&#x279A;"
229,"&#x1F7E3;","Wormerland",4,33,"&#x2798;"
362,"&#x26a1;","Woudenberg",14,160,"&#x279A;"
2949,"&#x26a1;","Zaanstad",95,572,"&#x279A;"
769,"&#x26a1;","Zaltbommel",18,198,"&#x279A;"
224,"&#x26a1;","Zandvoort",8,68,"&#x279A;"
221,"&#x1F7E3;","Zeewolde",13,55,"&#x279A;"
859,"&#x26a1;","Zeist",63,245,"&#x279A;"
447,"&#x1F7E3;","Zevenaar",9,80,"&#x2798;"
2224,"&#x26a1;","Zoetermeer",69,517,"&#x279A;"
140,"&#x26a1;","Zoeterwoude",1,32,"&#x279A;&#x279A;"
713,"&#x26a1;","Zuidplas",18,154,"&#x279A;"
273,"&#x1F7E3;","Zundert",8,54,"&#x279A;"
544,"&#x1F7E3;","Zutphen",0,81,"&#x279A;"
283,"&#x1F7E3;","Zwartewaterland",10,46,"&#x2798;"
852,"&#x26a1;","Zwijndrecht",16,146,"&#x279A;"
1225,"&#x1F7E3;","Zwolle",45,279,"&#x279A;"
