"municipality","Municipality_code","date","d0","d1","d7","d8","d14","dec1","lowest_since_dec1","lowest_since_dec1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d"
"Steenwijkerland","GM1708",2021-01-20,16,16,14,14,13,10,10,2020-12-01,16,0,2,3,100,"&#x279A;",44301,0,4.51457077718336,6.77185616577504
"Moerdijk","GM1709",2021-01-20,26,26,26,26,26,21,21,2020-12-01,26,0,0,0,0,"-",37193,0,0,0
"Echt-Susteren","GM1711",2021-01-20,24,24,24,24,22,20,20,2020-12-01,24,0,0,2,-100,"&#x2798;",31751,0,0,6.29901420427703
"Sluis","GM1714",2021-01-20,17,17,16,16,15,5,5,2020-12-01,17,0,1,2,0,"-",23143,0,4.32096098172233,8.64192196344467
"Drimmelen","GM1719",2021-01-20,23,23,23,23,23,12,12,2020-12-01,23,0,0,0,0,"-",27334,0,0,0
"Bernheze","GM1721",2021-01-20,68,68,68,68,68,67,67,2020-12-01,68,0,0,0,0,"-",31398,0,0,0
"Alphen-Chaam","GM1723",2021-01-20,5,5,5,5,5,5,5,2020-12-01,5,0,0,0,0,"-",10362,0,0,0
"Bergeijk","GM1724",2021-01-20,6,6,6,6,6,6,6,2020-12-01,6,0,0,0,0,"-",18745,0,0,0
"Bladel","GM1728",2021-01-20,20,20,19,19,19,13,13,2020-12-01,20,0,1,1,100,"&#x279A;",20552,0,4.86570650058388,4.86570650058388
"Gulpen-Wittem","GM1729",2021-01-20,18,18,18,18,18,16,16,2020-12-01,18,0,0,0,0,"-",14184,0,0,0
"Tynaarlo","GM1730",2021-01-20,17,17,17,17,13,12,12,2020-12-01,17,0,0,4,-100,"&#x2798;",33927,0,0,11.7900197482831
"Midden-Drenthe","GM1731",2021-01-20,17,16,6,5,3,2,2,2020-12-01,17,1,11,14,266.666666666667,"&#x279A;",33357,2.99787151122703,32.9765866234973,41.9702011571784
"Overbetuwe","GM1734",2021-01-20,26,26,25,25,24,20,20,2020-12-01,26,0,1,2,0,"-",48147,0,2.07697260473134,4.15394520946269
"Hof van Twente","GM1735",2021-01-20,18,18,16,16,16,13,13,2020-12-01,18,0,2,2,200,"&#x279A;",35037,0,5.70825127722122,5.70825127722122
"Neder-Betuwe","GM1740",2021-01-20,29,29,29,29,28,24,24,2020-12-01,29,0,0,1,-100,"&#x2798;",24634,0,0,4.05943005602013
"Rijssen-Holten","GM1742",2021-01-20,42,42,42,41,40,33,33,2020-12-01,42,0,0,2,-100,"&#x2798;",38182,0,0,5.23807029490336
"Geldrop-Mierlo","GM1771",2021-01-20,21,21,21,21,21,18,18,2020-12-01,21,0,0,0,0,"-",40097,0,0,0
"Olst-Wijhe","GM1773",2021-01-20,9,9,8,8,8,8,8,2020-12-01,9,0,1,1,100,"&#x279A;",18348,0,5.45018530630041,5.45018530630041
"Dinkelland","GM1774",2021-01-20,28,28,24,24,20,18,18,2020-12-01,28,0,4,8,0,"-",26616,0,15.0285542530809,30.0571085061617
"Westland","GM1783",2021-01-20,72,72,71,71,69,49,49,2020-12-01,72,0,1,3,-50,"&#x2798;",111342,0,0.898133678216666,2.69440103465
"Midden-Delfland","GM1842",2021-01-20,12,12,12,12,9,6,6,2020-12-01,12,0,0,3,-100,"&#x2798;",19378,0,0,15.4814738363092
"Berkelland","GM1859",2021-01-20,37,37,36,36,35,28,28,2020-12-01,37,0,1,2,0,"-",43821,0,2.28201090801214,4.56402181602428
"Bronckhorst","GM1876",2021-01-20,12,12,12,12,12,7,7,2020-12-01,12,0,0,0,0,"-",36103,0,0,0
"Sittard-Geleen","GM1883",2021-01-20,100,100,98,97,92,74,74,2020-12-01,100,0,2,8,-66.6666666666667,"&#x2798;",91781,0,2.17910024950698,8.71640099802791
"Kaag en Braassem","GM1884",2021-01-20,8,8,4,4,3,3,3,2020-12-01,8,0,4,5,300,"&#x279A;",27547,0,14.5206374559843,18.1507968199804
"Dantumadiel","GM1891",2021-01-20,12,12,10,10,7,0,0,2020-12-01,12,0,2,5,-33.3333333333333,"&#x2798;",18927,0,10.5669149891689,26.4172874729223
"Zuidplas","GM1892",2021-01-20,39,39,36,36,32,25,25,2020-12-01,39,0,3,7,-25,"&#x2798;",45015,0,6.66444518493835,15.5503720981895
"Peel en Maas","GM1894",2021-01-20,71,71,70,70,69,65,65,2020-12-01,71,0,1,2,0,"-",43695,0,2.28859137201053,4.57718274402106
"Oldambt","GM1895",2021-01-20,16,15,15,15,15,6,6,2020-12-01,16,1,1,1,100,"&#x279A;",38281,2.61226195762911,2.61226195762911,2.61226195762911
"Zwartewaterland","GM1896",2021-01-20,25,25,25,25,24,24,24,2020-12-01,25,0,0,1,-100,"&#x2798;",22797,0,0,4.38654208887134
"Súdwest-Fryslân","GM1900",2021-01-20,52,52,49,48,43,28,28,2020-12-01,52,0,3,9,-50,"&#x2798;",89930,0,3.33592794395641,10.0077838318692
"Bodegraven-Reeuwijk","GM1901",2021-01-20,24,23,21,20,19,12,12,2020-12-01,24,1,3,5,50,"&#x279A;",35288,2.83382452958513,8.50147358875538,14.1691226479256
"Eijsden-Margraten","GM1903",2021-01-20,36,36,35,35,33,30,30,2020-12-01,36,0,1,3,-50,"&#x2798;",25903,0,3.86055669227503,11.5816700768251
