"","LeeftijdOp31December","Week","2001","2002","2003","2004","2005","2006","2013","2014","2015","2016","2017","2018","2019","2020","Average20152019","Average20132017","Average20012005","excess_death","excess_flu","excess_heatwave"
"41","0 tot 65","06",493.123481546597,524.055541801067,471.443559443681,541.314861884283,518.932388975103,489.393853832448,477.035437610129,452.381638308113,450.924920613133,437.7864778939,475.15923425965,445.321513433398,401.342224125599,400,442.106874065136,458.657541736985,509.773966730146,-42,-13.3360283035872,-20.3801128976976
"42","0 tot 65","07",527.62183210747,508.938555018344,478.465059265182,492.286343894764,536.930044084066,488.393048405388,447.911168787616,447.343980865929,435.793211867726,451.90862234209,469.119074502112,429.23766644709,406.359001927169,409,438.483515417237,450.415211673094,508.848366873965,-29,-21.1775452260047,-20.4553184685769
"43","0 tot 65","08",481.962250482785,527.078939157611,511.566415566547,521.303221888561,532.930565170963,519.418016644255,465.98830116021,417.118036212826,457.986384694323,475.10928822126,441.938355593191,436.274349503599,415.389201969995,340,445.339515996474,451.628073176362,514.968278453293,-105,-15.3537236727624,4.44973819096151
"44","0 tot 65","09",514.431286304783,537.156930346093,540.655486255625,473.275285898828,525.931477073033,501.403518957171,456.949734973913,414.095441747515,419.652722539291,483.179085048797,409.724170219655,470.452524349504,401.342224125599,403,436.870145256569,436.720230905834,518.290093175672,-34,33.7322934436692,-16.8865742185016
"45","0 tot 65","10",520.519230521408,503.899559424102,510.563344163475,489.284597895405,526.931346801308,498.40110267599,458.958305237535,448.351512354366,455.968823528269,436.777753290458,438.918275714422,466.431562602927,430.439535374705,392,445.707190102156,447.79493402501,510.23961576114,-54,18.6366285779169,-11.8385130851496
"46","0 tot 65","11",526.607174738032,536.149131227245,550.686200286342,475.2764498984,486.936557670279,455.366469312401,442.889743128562,427.193351097193,445.881017697997,489.23143266945,428.851342785192,447.331994306686,415.389201969995,408,445.336997885864,446.809377475679,515.13110276406,-37,0.522616831007213,-59.7646334516589
"47","0 tot 65","12",548.929636865656,559.328510960754,507.55412995426,467.271793900111,494.935515496485,503.405129811291,446.906883655805,430.215945562504,482.197118686974,447.873723928321,415.764329977193,440.295311250176,401.342224125599,449,437.494541593653,444.59160036216,515.603917435453,12,-4.29628911198307,-12.198787624162
"48","0 tot 65","13",542.841692649031,518.008747087977,532.630915031052,506.294491891769,516.932649518551,486.391437551268,435.859747205886,413.087910259078,424.696625454427,440.812651704226,428.851342785192,413.153819460782,397.328801884343,502,420.968648257794,428.661655481762,523.341699235676,81,-15.5078360209801,-36.9502616844086
"49","0 tot 65","14",514.431286304783,469.634389383263,553.695414495557,502.292163892625,470.938642017868,446.359220468859,447.911168787616,399.9900009094,405.529794376911,431.734130273247,437.911582421499,447.331994306686,385.288535160575,498,421.559207307784,424.615335353735,502.198379218819,76,22.7166589529514,-55.8391587499604
"50","0 tot 65","15",488.050194699409,561.34410919845,486.489630489755,481.279941897117,491.935906311658,463.372912728882,474.022582214697,394.952343467216,434.784431284699,398.446218359655,403.684010462118,404.106655530984,404.352290806541,482,409.074721288799,421.177917157677,501.819956519278,73,-17.0712616266931,-38.4470437903955
"51","0 tot 65","16",505.299369979846,510.95415325604,550.686200286342,521.303221888561,500.934733866139,514.413989508954,433.851176942265,411.072847282205,433.775650701671,424.673058049152,405.697397047964,381.991365924811,426.426113133449,425,414.512716971409,421.814026004651,517.835535855386,10,-39.8226600798406,-3.4215463464318
"52","0 tot 65","17",533.709776324094,507.930755899495,561.71998572013,485.282269896261,445.941898810974,492.396270113629,412.761189174238,426.185819608757,432.766870118644,410.550913600961,390.596997654119,402.096174657695,368.231490635237,454,400.848489333331,414.572358031344,506.916937330191,53,-12.4761833736484,-14.5206672165622
"53","0 tot 65","18",502.255397871534,514.985349731433,494.514201714329,473.275285898828,490.936036583382,454.36566388534,399.705482460698,410.065315793768,405.529794376911,400.46366756654,391.603690947042,397.069972474474,378.265046238377,443,394.586434320669,401.473590228992,495.193254359901,48,-4.40361775451754,-40.8275904745606
"54","0 tot 65","19",516.460601043658,496.844965592165,497.523415923544,471.274121899255,475.937990659246,487.392242978328,435.859747205886,426.185819608757,437.81077303378,427.699231859478,381.536758017812,372.944201995012,379.268401798691,387,399.851873340955,421.818465945143,491.608219023574,-13,-48.8742639501301,-4.2159760452459
"55","0 tot 65","20",549.944294235093,497.852764711013,463.418988219107,475.2764498984,468.938902561316,467.376134437123,409.748333778805,446.336449377492,413.600039041129,351.036161997874,389.590304361196,351.834152825483,388.298601841517,373,378.87185201344,402.062257711299,491.086279924986,-6,-50.2281048858156,-23.7101454878627
"56","0 tot 65","21",518.489915782533,484.751376165987,501.53570153583,504.293327892197,491.935906311658,440.354387906497,437.868317469508,419.133099189699,391.406866214531,424.673058049152,404.690703755041,393.049010727897,405.355646366855,367,403.835057022695,415.554408935586,500.201245537641,-37,-22.5053982076889,-59.8468576311436
