"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","R_est_up","R_est_low","diff"
"43",2021-02-19,1.0638188076786,0.00193654791033719,1.04,"1.01","1.07",1.02426744416175,0.00149598366250217,1.02719957214025,1.02133531618324,-0.02
"44",2021-02-20,1.04094424031843,0.00176703152487513,1.03,"1.00","1.06",1.00819261854858,0.0016095101829921,1.01134725850724,1.00503797858991,-0.02
"45",2021-02-21,1.02426744416175,0.00149598366250217,1,"0.97","1.03",0.99853302758544,0.00178423237946442,1.00203012304919,0.99503593212169,0
"46",2021-02-22,1.00819261854858,0.0016095101829921,0.98,"0.95","1.01",0.9719127697485,0.0020777426691882,0.975985145380109,0.967840394116891,-0.01
"47",2021-02-23,0.99853302758544,0.00178423237946442,0.97,"0.94","1.00",0.97502933099263,0.0016836568642522,0.978329298446564,0.971729363538696,0.01
"48",2021-02-24,0.9719127697485,0.0020777426691882,0.99,"0.96","1.02",0.980304822589952,0.00132377018616263,0.982899412154831,0.977710233025073,-0.01
"49",2021-02-25,0.97502933099263,0.0016836568642522,1.01,"0.98","1.04",0.999946537571074,0.00162779122085103,1.00313700836394,0.996756066778205,-0.01
"50",2021-02-26,0.980304822589952,0.00132377018616263,1.04,"1.01","1.07",1.02440343951939,0.00102085929458724,1.02640432373678,1.022402555302,-0.02
"51",2021-02-27,0.999946537571074,0.00162779122085103,1.05,"1.02","1.08",1.0456910912956,0.00220987337551467,1.0500224431116,1.04135973947959,0
"52",2021-02-28,1.02440343951939,0.00102085929458724,1.05,"1.02","1.08",1.06415069597031,0.00134898960740508,1.06679471560083,1.0615066763398,0.01
"53",2021-03-01,1.0456910912956,0.00220987337551467,1.05,"1.03","1.08",1.05562839224583,0.00171703364796944,1.05899377819585,1.05226300629581,0.01
"54",2021-03-02,1.06415069597031,0.00134898960740508,1.07,"1.04","1.10",1.07645164373551,0.00154795573964403,1.07948563698521,1.07341765048581,0.01
"55",2021-03-03,1.05562839224583,0.00171703364796944,1.11,"1.08","1.14",1.09794263587027,0.00269978984521956,1.1032342239669,1.09265104777364,-0.01
"56",2021-03-04,1.07645164373551,0.00154795573964403,1.14,"1.10","1.17",1.13303203752557,0.00173656647723784,1.13643570782096,1.12962836723019,-0.01
"57",2021-03-05,1.09794263587027,0.00269978984521956,1.16,"1.13","1.19",1.163325431934,0.0016861376493523,1.16663026172673,1.16002060214127,0
"58",2021-03-06,1.13303203752557,0.00173656647723784,1.16,"1.13","1.19",1.17275116837555,0.00187324019158131,1.17642271915105,1.16907961760005,0.01
"59",2021-03-07,1.163325431934,0.0016861376493523,1.14,"1.11","1.17",1.16510854110904,0.00215763189144842,1.16933749961628,1.1608795826018,0.03
"60",2021-03-08,1.17275116837555,0.00187324019158131,1.11,"1.09","1.14",1.11631832353744,0.00161601985223883,1.11948572244783,1.11315092462706,0.01
"61",2021-03-09,1.16510854110904,0.00215763189144842,1.09,"1.06","1.12",1.09820054095144,0.00180882853496898,1.10174584487998,1.0946552370229,0.01
"62",2021-03-10,1.11631832353744,0.00161601985223883,1.08,"1.05","1.11",1.08266656936194,0.00164160612810623,1.08588411737303,1.07944902135085,0
"63",2021-03-11,1.09820054095144,0.00180882853496898,1.08,"1.06","1.11",1.08324843974653,0.00143283749617851,1.08605680123904,1.08044007825402,0
"64",2021-03-12,1.08266656936194,0.00164160612810623,1.09,"1.07","1.12",1.09201896890983,0.00151839891422144,1.0949950307817,1.08904290703796,0
"65",2021-03-13,1.08324843974653,0.00143283749617851,1.1,"1.08","1.13",1.0901756964374,0.0017647702302839,1.09363464608875,1.08671674678604,-0.01
"66",2021-03-14,1.09201896890983,0.00151839891422144,1.09,"1.07","1.12",1.09240398865033,0.00171061531683296,1.09575679467133,1.08905118262934,0
"67",2021-03-15,1.0901756964374,0.0017647702302839,1.07,"1.05","1.10",1.06695483506679,0.00153636437418291,1.06996610924019,1.06394356089339,0
"68",2021-03-16,1.09240398865033,0.00171061531683296,1.06,"1.03","1.08",1.05806065758791,0.00155402042131649,1.06110653761369,1.05501477756213,0
"69",2021-03-17,1.06695483506679,0.00153636437418291,1.06,"1.03","1.08",1.05127004550295,0.000985821621257067,1.05320225588062,1.04933783512529,-0.01
"70",2021-03-18,1.05806065758791,0.00155402042131649,1.06,"1.04","1.09",1.0496246645923,0.00176320696775763,1.05308055024911,1.0461687789355,-0.01
"71",2021-03-19,1.05127004550295,0.000985821621257067,NA,"1.05","1.10",1.05204371042695,0.00193297636391688,1.05583234410023,1.04825507675367,NA
"72",2021-03-20,1.0496246645923,0.00176320696775763,NA,"1.05","1.09",1.0433442287059,0.0015915191224805,1.04646360618596,1.04022485122584,NA
"73",2021-03-21,1.05204371042695,0.00193297636391688,NA,"1.03","1.08",1.0169775144136,0.00123701905401555,1.01940207175947,1.01455295706773,NA
"74",2021-03-22,1.0433442287059,0.0015915191224805,NA,"1.00","1.05",0.954821851244569,0.000672427321015799,0.956139808793759,0.953503893695378,NA
"75",2021-03-23,1.0169775144136,0.00123701905401555,NA,"0.98","1.03",0.888692195971092,0.000920638787203232,0.890496647994011,0.886887743948174,NA
"76",2021-03-24,0.954821851244569,0.000672427321015799,NA,"0.98","1.03",0.811851352797214,0.00103745176914972,0.813884758264747,0.80981794732968,NA
"77",2021-03-25,0.888692195971092,0.000920638787203232,NA,"0.99","1.04",0.744883225789431,0.00154739419365689,0.747916118408999,0.741850333169863,NA
"78",2021-03-26,0.811851352797214,0.00103745176914972,NA,"1.01","1.07",0.678453894366872,0.00101775568138622,0.680448695502389,0.676459093231355,NA
"79",2021-03-27,0.744883225789431,0.00154739419365689,NA,"1.02","1.09",0.58008533072141,0.00111967920713467,0.582279901967394,0.577890759475426,NA
"80",2021-03-28,0.678453894366872,0.00101775568138622,NA,"1.04","1.12",0.479443665946238,0.000986398537521379,0.48137700707978,0.477510324812696,NA
"81",2021-03-29,0.58008533072141,0.00111967920713467,NA,"1.04","1.15",0.371322609126745,0.00120471040025347,0.373683841511242,0.368961376742248,NA
"82",2021-03-30,0.479443665946238,0.000986398537521379,NA,"1.05","1.19",0.265262092025119,0.00109812701392858,0.267414420972419,0.263109763077819,NA
"83",2021-03-31,0.371322609126745,0.00120471040025347,NA,"1.05","1.22",NA,NA,NA,NA,NA
"84",2021-04-01,0.265262092025119,0.00109812701392858,NA,"1.05","1.22",NA,NA,NA,NA,NA
