"date","age_group","cases","ggd_code"
"2020-03-02","30-39",1,"GG2014"
"2020-03-02","40-49",1,"GG2014"
"2020-03-02","10-19",1,"GG2014"
"2020-03-02","40-49",1,"GG3606"
"2020-03-02","20-29",1,"GG3606"
"2020-03-02","70-79",1,"GG0111"
"2020-03-02","30-39",4,"GG5406"
"2020-03-02","40-49",4,"GG5406"
"2020-03-02","80-89",5,"GG5406"
"2020-03-02","50-59",4,"GG5406"
"2020-03-02","70-79",5,"GG5406"
"2020-03-02","60-69",5,"GG5406"
"2020-03-02","50-59",1,"GG4506"
"2020-03-02","40-49",2,"GG4506"
"2020-03-02","50-59",1,"GG2707"
"2020-03-02","30-39",1,"GG2707"
"2020-03-02","40-49",1,"GG1009"
"2020-03-02","50-59",2,"GG1009"
"2020-03-02","60-69",1,"GG3109"
"2020-03-02","80-89",2,"GG3109"
"2020-03-02","70-79",1,"GG6011"
"2020-03-02","20-29",1,"GG6011"
"2020-03-02","60-69",2,"GG6011"
"2020-03-02","0-9",1,"GG6011"
"2020-03-02","50-59",1,"GG6011"
"2020-03-02","40-49",2,"GG6011"
"2020-03-02","50-59",2,"GG1413"
"2020-03-02","30-39",1,"GG1413"
"2020-03-02","50-59",1,"GG1106"
"2020-03-02","20-29",1,"GG1106"
"2020-03-02","90+",1,"GG2514"
"2020-03-02","70-79",2,"GG2514"
"2020-03-02","50-59",2,"GG2514"
"2020-03-02","40-49",5,"GG2514"
"2020-03-02","60-69",2,"GG2514"
"2020-03-02","30-39",4,"GG2514"
"2020-03-02","10-19",2,"GG2514"
"2020-03-02","80-89",1,"GG4607"
"2020-03-02","90+",1,"GG4607"
"2020-03-02","50-59",2,"GG4607"
"2020-03-02","40-49",2,"GG4607"
"2020-03-02","30-39",1,"GG4607"
"2020-03-02","40-49",3,"GG5206"
"2020-03-02","80-89",1,"GG5206"
"2020-03-02","60-69",2,"GG5206"
"2020-03-02","50-59",4,"GG5206"
"2020-03-02","40-49",1,"GG7306"
"2020-03-02","60-69",1,"GG5006"
"2020-03-02","80-89",2,"GG5006"
"2020-03-02","50-59",1,"GG5006"
"2020-03-02","50-59",4,"GG6106"
"2020-03-02","60-69",1,"GG6106"
"2020-03-02","80-89",3,"GG6106"
"2020-03-02","70-79",2,"GG6106"
"2020-03-02","40-49",1,"GG6106"
"2020-03-02","20-29",1,"GG1911"
"2020-03-02","30-39",1,"GG1911"
"2020-03-02","40-49",1,"GG1911"
"2020-03-02","60-69",1,"GG1911"
"2020-03-03","50-59",1,"GG3406"
"2020-03-03","40-49",2,"GG3406"
"2020-03-03","30-39",1,"GG3406"
"2020-03-03","60-69",3,"GG3406"
"2020-03-03","20-29",2,"GG3406"
"2020-03-03","90+",1,"GG3406"
"2020-03-03","40-49",2,"GG5608"
"2020-03-03","70-79",2,"GG5608"
"2020-03-03","60-69",2,"GG5608"
"2020-03-03","80-89",2,"GG5608"
"2020-03-03","30-39",2,"GG5608"
"2020-03-03","40-49",1,"GG0706"
"2020-03-03","20-29",1,"GG2209"
"2020-03-03","70-79",1,"GG2209"
"2020-03-03","20-29",1,"GG2014"
"2020-03-03","50-59",2,"GG2014"
"2020-03-03","80-89",1,"GG2014"
"2020-03-03","50-59",1,"GG3606"
"2020-03-03","50-59",1,"GG0111"
"2020-03-03","20-29",1,"GG0111"
"2020-03-03","10-19",1,"GG7014"
"2020-03-03","60-69",1,"GG7014"
"2020-03-03","40-49",2,"GG7014"
"2020-03-03","90+",1,"GG7014"
"2020-03-03","50-59",4,"GG7014"
"2020-03-03","60-69",10,"GG5406"
"2020-03-03","40-49",3,"GG5406"
"2020-03-03","50-59",5,"GG5406"
"2020-03-03","90+",1,"GG5406"
"2020-03-03","70-79",3,"GG5406"
"2020-03-03","20-29",1,"GG5406"
"2020-03-03","50-59",1,"GG4506"
"2020-03-03","20-29",2,"GG4506"
"2020-03-03","10-19",1,"GG4506"
"2020-03-03","30-39",1,"GG2707"
"2020-03-03","50-59",1,"GG1009"
"2020-03-03","30-39",1,"GG1009"
"2020-03-03","70-79",1,"GG1009"
"2020-03-03","20-29",1,"GG3109"
"2020-03-03","50-59",1,"GG3109"
"2020-03-03","70-79",1,"GG6011"
"2020-03-03","10-19",1,"GG6011"
