"Datum","<20","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 - 89",">90","Totaal"
"2021-04-29",0,0,0,0,0,0,0,0,1,2,2,4,3,1,0,0,13
"2021-04-30",0,0,0,0,0,0,0,0,0,0,3,6,8,5,2,0,24
"2021-05-01",0,0,0,0,0,0,0,1,0,0,1,6,2,5,0,1,16
"2021-05-02",0,0,0,0,0,0,0,0,0,0,2,5,3,1,0,0,11
"2021-05-03",0,0,0,0,0,0,0,0,1,0,2,5,7,2,2,4,23
"2021-05-04",0,0,0,0,0,0,0,1,3,1,4,1,10,4,2,0,26
"2021-05-05",0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,2,10
"2021-05-06",0,0,0,0,0,0,0,0,0,0,3,2,8,4,0,1,18
"2021-05-07",0,0,0,0,1,0,0,0,0,0,1,3,4,3,2,0,14
"2021-05-08",0,0,0,0,0,0,0,1,0,1,2,2,0,7,2,0,15
"2021-05-09",0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7
"2021-05-10",0,0,0,0,0,0,0,0,2,-1,4,4,4,5,4,1,23
"2021-05-11",1,0,0,1,0,0,0,1,1,1,3,3,6,4,3,2,26
"2021-05-12",0,0,0,0,0,0,0,0,0,2,0,4,5,2,2,1,16
"2021-05-13",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4
"2021-05-14",0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,8
"2021-05-15",0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,6
"2021-05-16",0,0,0,0,0,0,0,0,1,0,0,2,5,4,1,0,13
"2021-05-17",0,0,0,0,0,0,0,0,0,1,0,1,5,1,1,0,9
"2021-05-18",0,0,0,0,0,0,0,1,0,0,2,2,1,4,2,2,14
"2021-05-19",0,0,0,0,0,0,0,0,1,2,0,6,3,2,2,0,16
"2021-05-20",0,1,0,0,0,0,0,0,0,3,2,1,2,3,0,1,13
"2021-05-21",0,0,0,0,0,0,0,0,2,1,0,3,1,2,2,0,11
"2021-05-22",0,0,0,0,0,0,0,0,0,0,1,2,6,2,0,2,13
"2021-05-23",0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,7
"2021-05-24",0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0,7
"2021-05-25",0,0,0,0,0,0,0,0,0,3,2,3,2,1,0,1,12
"2021-05-26",0,0,0,0,1,0,0,1,0,1,1,2,2,4,0,0,12
"2021-05-27",0,0,0,0,0,1,0,0,1,0,1,3,1,2,1,0,10
"2021-05-28",0,1,0,0,0,0,0,0,0,1,2,1,3,3,0,0,11
"2021-05-29",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6
"2021-05-30",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"2021-05-31",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7
"2021-06-01",0,0,0,1,0,0,0,0,1,2,1,1,7,6,2,0,21
"2021-06-02",0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,6
