"Leeftijd","Aanwezig","Datum","Type"
"60 - 64",154,"2020-11-22","Klinisch"
"65 - 69",170,"2020-11-22","Klinisch"
"70 - 74",193,"2020-11-22","Klinisch"
"75 - 79",246,"2020-11-22","Klinisch"
"80 - 84",211,"2020-11-22","Klinisch"
"85 - 89",133,"2020-11-22","Klinisch"
">90",42,"2020-11-22","Klinisch"
"<20",33,"2020-11-23","Klinisch"
"20 - 24",6,"2020-11-23","Klinisch"
"25 - 29",8,"2020-11-23","Klinisch"
"30 - 34",23,"2020-11-23","Klinisch"
"35 - 39",22,"2020-11-23","Klinisch"
"40 - 44",30,"2020-11-23","Klinisch"
"45 - 49",41,"2020-11-23","Klinisch"
"50 - 54",98,"2020-11-23","Klinisch"
"55 - 59",116,"2020-11-23","Klinisch"
"60 - 64",155,"2020-11-23","Klinisch"
"65 - 69",171,"2020-11-23","Klinisch"
"70 - 74",202,"2020-11-23","Klinisch"
"75 - 79",259,"2020-11-23","Klinisch"
"80 - 84",221,"2020-11-23","Klinisch"
"85 - 89",133,"2020-11-23","Klinisch"
">90",42,"2020-11-23","Klinisch"
"<20",37,"2020-11-24","Klinisch"
"20 - 24",6,"2020-11-24","Klinisch"
"25 - 29",8,"2020-11-24","Klinisch"
"30 - 34",18,"2020-11-24","Klinisch"
"35 - 39",29,"2020-11-24","Klinisch"
"40 - 44",33,"2020-11-24","Klinisch"
"45 - 49",40,"2020-11-24","Klinisch"
"50 - 54",94,"2020-11-24","Klinisch"
"55 - 59",128,"2020-11-24","Klinisch"
"60 - 64",145,"2020-11-24","Klinisch"
"65 - 69",169,"2020-11-24","Klinisch"
"70 - 74",192,"2020-11-24","Klinisch"
"75 - 79",246,"2020-11-24","Klinisch"
"80 - 84",228,"2020-11-24","Klinisch"
"85 - 89",146,"2020-11-24","Klinisch"
">90",51,"2020-11-24","Klinisch"
"<20",35,"2020-11-25","Klinisch"
"20 - 24",5,"2020-11-25","Klinisch"
"25 - 29",10,"2020-11-25","Klinisch"
"30 - 34",18,"2020-11-25","Klinisch"
"35 - 39",24,"2020-11-25","Klinisch"
"40 - 44",33,"2020-11-25","Klinisch"
"45 - 49",42,"2020-11-25","Klinisch"
"50 - 54",93,"2020-11-25","Klinisch"
"55 - 59",127,"2020-11-25","Klinisch"
"60 - 64",140,"2020-11-25","Klinisch"
"65 - 69",167,"2020-11-25","Klinisch"
"70 - 74",193,"2020-11-25","Klinisch"
"75 - 79",240,"2020-11-25","Klinisch"
"80 - 84",222,"2020-11-25","Klinisch"
"85 - 89",143,"2020-11-25","Klinisch"
">90",53,"2020-11-25","Klinisch"
"<20",42,"2020-11-26","Klinisch"
"20 - 24",5,"2020-11-26","Klinisch"
"25 - 29",9,"2020-11-26","Klinisch"
"30 - 34",17,"2020-11-26","Klinisch"
"35 - 39",27,"2020-11-26","Klinisch"
"40 - 44",34,"2020-11-26","Klinisch"
"45 - 49",47,"2020-11-26","Klinisch"
"50 - 54",90,"2020-11-26","Klinisch"
"55 - 59",123,"2020-11-26","Klinisch"
"60 - 64",136,"2020-11-26","Klinisch"
"65 - 69",158,"2020-11-26","Klinisch"
"70 - 74",184,"2020-11-26","Klinisch"
"75 - 79",239,"2020-11-26","Klinisch"
"80 - 84",208,"2020-11-26","Klinisch"
"85 - 89",142,"2020-11-26","Klinisch"
">90",58,"2020-11-26","Klinisch"
"<20",37,"2020-11-27","Klinisch"
"20 - 24",8,"2020-11-27","Klinisch"
"25 - 29",10,"2020-11-27","Klinisch"
"30 - 34",19,"2020-11-27","Klinisch"
"35 - 39",26,"2020-11-27","Klinisch"
"40 - 44",36,"2020-11-27","Klinisch"
"45 - 49",53,"2020-11-27","Klinisch"
"50 - 54",92,"2020-11-27","Klinisch"
"55 - 59",123,"2020-11-27","Klinisch"
"60 - 64",136,"2020-11-27","Klinisch"
"65 - 69",168,"2020-11-27","Klinisch"
