"Leeftijd","Aanwezig","Datum","Type"
"<20",2,"2020-11-09","IC"
"20 - 24",3,"2020-11-09","IC"
"25 - 29",3,"2020-11-09","IC"
"30 - 34",5,"2020-11-09","IC"
"35 - 39",3,"2020-11-09","IC"
"40 - 44",9,"2020-11-09","IC"
"45 - 49",15,"2020-11-09","IC"
"50 - 54",53,"2020-11-09","IC"
"55 - 59",74,"2020-11-09","IC"
"60 - 64",107,"2020-11-09","IC"
"65 - 69",109,"2020-11-09","IC"
"70 - 74",138,"2020-11-09","IC"
"75 - 79",81,"2020-11-09","IC"
"80 - 84",27,"2020-11-09","IC"
"85 - 89",2,"2020-11-09","IC"
">90",1,"2020-11-09","IC"
"<20",2,"2020-11-10","IC"
"20 - 24",2,"2020-11-10","IC"
"25 - 29",3,"2020-11-10","IC"
"30 - 34",3,"2020-11-10","IC"
"35 - 39",3,"2020-11-10","IC"
"40 - 44",9,"2020-11-10","IC"
"45 - 49",15,"2020-11-10","IC"
"50 - 54",51,"2020-11-10","IC"
"55 - 59",76,"2020-11-10","IC"
"60 - 64",107,"2020-11-10","IC"
"65 - 69",107,"2020-11-10","IC"
"70 - 74",142,"2020-11-10","IC"
"75 - 79",81,"2020-11-10","IC"
"80 - 84",25,"2020-11-10","IC"
"85 - 89",0,"2020-11-10","IC"
">90",1,"2020-11-10","IC"
"<20",2,"2020-11-11","IC"
"20 - 24",2,"2020-11-11","IC"
"25 - 29",2,"2020-11-11","IC"
"30 - 34",3,"2020-11-11","IC"
"35 - 39",3,"2020-11-11","IC"
"40 - 44",8,"2020-11-11","IC"
"45 - 49",14,"2020-11-11","IC"
"50 - 54",52,"2020-11-11","IC"
"55 - 59",75,"2020-11-11","IC"
"60 - 64",109,"2020-11-11","IC"
"65 - 69",113,"2020-11-11","IC"
"70 - 74",141,"2020-11-11","IC"
"75 - 79",79,"2020-11-11","IC"
"80 - 84",24,"2020-11-11","IC"
"85 - 89",0,"2020-11-11","IC"
">90",1,"2020-11-11","IC"
"<20",2,"2020-11-12","IC"
"20 - 24",2,"2020-11-12","IC"
"25 - 29",1,"2020-11-12","IC"
"30 - 34",3,"2020-11-12","IC"
"35 - 39",3,"2020-11-12","IC"
"40 - 44",10,"2020-11-12","IC"
"45 - 49",14,"2020-11-12","IC"
"50 - 54",51,"2020-11-12","IC"
"55 - 59",80,"2020-11-12","IC"
"60 - 64",108,"2020-11-12","IC"
"65 - 69",114,"2020-11-12","IC"
"70 - 74",140,"2020-11-12","IC"
"75 - 79",80,"2020-11-12","IC"
"80 - 84",24,"2020-11-12","IC"
"85 - 89",2,"2020-11-12","IC"
">90",1,"2020-11-12","IC"
"<20",1,"2020-11-13","IC"
"20 - 24",2,"2020-11-13","IC"
"25 - 29",1,"2020-11-13","IC"
"30 - 34",4,"2020-11-13","IC"
"35 - 39",3,"2020-11-13","IC"
"40 - 44",11,"2020-11-13","IC"
"45 - 49",10,"2020-11-13","IC"
"50 - 54",54,"2020-11-13","IC"
"55 - 59",81,"2020-11-13","IC"
"60 - 64",112,"2020-11-13","IC"
"65 - 69",109,"2020-11-13","IC"
"70 - 74",141,"2020-11-13","IC"
"75 - 79",80,"2020-11-13","IC"
"80 - 84",24,"2020-11-13","IC"
"85 - 89",1,"2020-11-13","IC"
">90",0,"2020-11-13","IC"
"<20",1,"2020-11-14","IC"
"20 - 24",1,"2020-11-14","IC"
"25 - 29",1,"2020-11-14","IC"
"30 - 34",4,"2020-11-14","IC"
"35 - 39",3,"2020-11-14","IC"
"40 - 44",10,"2020-11-14","IC"
"45 - 49",13,"2020-11-14","IC"
"50 - 54",50,"2020-11-14","IC"
"55 - 59",78,"2020-11-14","IC"
"60 - 64",111,"2020-11-14","IC"
"65 - 69",103,"2020-11-14","IC"
"70 - 74",138,"2020-11-14","IC"
"75 - 79",77,"2020-11-14","IC"
"80 - 84",24,"2020-11-14","IC"
"85 - 89",1,"2020-11-14","IC"
">90",0,"2020-11-14","IC"
"<20",1,"2020-11-15","IC"
"20 - 24",1,"2020-11-15","IC"
"25 - 29",0,"2020-11-15","IC"
"30 - 34",4,"2020-11-15","IC"
"35 - 39",1,"2020-11-15","IC"
"40 - 44",9,"2020-11-15","IC"
"45 - 49",13,"2020-11-15","IC"
"50 - 54",49,"2020-11-15","IC"
"55 - 59",81,"2020-11-15","IC"
"60 - 64",109,"2020-11-15","IC"
"65 - 69",101,"2020-11-15","IC"
"70 - 74",140,"2020-11-15","IC"
"75 - 79",75,"2020-11-15","IC"
"80 - 84",21,"2020-11-15","IC"
"85 - 89",1,"2020-11-15","IC"
">90",0,"2020-11-15","IC"
"<20",1,"2020-11-16","IC"
"20 - 24",1,"2020-11-16","IC"
"25 - 29",0,"2020-11-16","IC"
"30 - 34",6,"2020-11-16","IC"
"35 - 39",2,"2020-11-16","IC"
"40 - 44",9,"2020-11-16","IC"
"45 - 49",11,"2020-11-16","IC"
"50 - 54",48,"2020-11-16","IC"
"55 - 59",81,"2020-11-16","IC"
"60 - 64",107,"2020-11-16","IC"
"65 - 69",102,"2020-11-16","IC"
"70 - 74",135,"2020-11-16","IC"
"75 - 79",75,"2020-11-16","IC"
"80 - 84",20,"2020-11-16","IC"
"85 - 89",1,"2020-11-16","IC"
">90",0,"2020-11-16","IC"
"<20",1,"2020-11-17","IC"
"20 - 24",1,"2020-11-17","IC"
"25 - 29",0,"2020-11-17","IC"
"30 - 34",5,"2020-11-17","IC"
"35 - 39",2,"2020-11-17","IC"
"40 - 44",8,"2020-11-17","IC"
"45 - 49",14,"2020-11-17","IC"
"50 - 54",46,"2020-11-17","IC"
"55 - 59",79,"2020-11-17","IC"
"60 - 64",107,"2020-11-17","IC"
"65 - 69",100,"2020-11-17","IC"
"70 - 74",134,"2020-11-17","IC"
"75 - 79",73,"2020-11-17","IC"
"80 - 84",16,"2020-11-17","IC"
"85 - 89",1,"2020-11-17","IC"
">90",0,"2020-11-17","IC"
"<20",1,"2020-11-18","IC"
"20 - 24",0,"2020-11-18","IC"
"25 - 29",0,"2020-11-18","IC"
"30 - 34",5,"2020-11-18","IC"
"35 - 39",2,"2020-11-18","IC"
"40 - 44",7,"2020-11-18","IC"
"45 - 49",12,"2020-11-18","IC"
"50 - 54",42,"2020-11-18","IC"
"55 - 59",80,"2020-11-18","IC"
"60 - 64",96,"2020-11-18","IC"
"65 - 69",106,"2020-11-18","IC"
"70 - 74",131,"2020-11-18","IC"
"75 - 79",73,"2020-11-18","IC"
"80 - 84",18,"2020-11-18","IC"
"85 - 89",1,"2020-11-18","IC"
">90",0,"2020-11-18","IC"
"<20",1,"2020-11-19","IC"
"20 - 24",0,"2020-11-19","IC"
"25 - 29",0,"2020-11-19","IC"
"30 - 34",5,"2020-11-19","IC"
"35 - 39",2,"2020-11-19","IC"
"40 - 44",6,"2020-11-19","IC"
"45 - 49",12,"2020-11-19","IC"
"50 - 54",44,"2020-11-19","IC"
"55 - 59",78,"2020-11-19","IC"
"60 - 64",95,"2020-11-19","IC"
"65 - 69",107,"2020-11-19","IC"
"70 - 74",135,"2020-11-19","IC"
"75 - 79",72,"2020-11-19","IC"
"80 - 84",17,"2020-11-19","IC"
"85 - 89",1,"2020-11-19","IC"
">90",0,"2020-11-19","IC"
"<20",2,"2020-11-20","IC"
"20 - 24",0,"2020-11-20","IC"
"25 - 29",0,"2020-11-20","IC"
"30 - 34",4,"2020-11-20","IC"
"35 - 39",2,"2020-11-20","IC"
"40 - 44",5,"2020-11-20","IC"
"45 - 49",10,"2020-11-20","IC"
"50 - 54",44,"2020-11-20","IC"
"55 - 59",81,"2020-11-20","IC"
"60 - 64",90,"2020-11-20","IC"
"65 - 69",106,"2020-11-20","IC"
"70 - 74",133,"2020-11-20","IC"
"75 - 79",72,"2020-11-20","IC"
"80 - 84",16,"2020-11-20","IC"
"85 - 89",1,"2020-11-20","IC"
">90",1,"2020-11-20","IC"
"<20",2,"2020-11-21","IC"
"20 - 24",0,"2020-11-21","IC"
"25 - 29",0,"2020-11-21","IC"
"30 - 34",4,"2020-11-21","IC"
"35 - 39",2,"2020-11-21","IC"
"40 - 44",5,"2020-11-21","IC"
"45 - 49",11,"2020-11-21","IC"
"50 - 54",44,"2020-11-21","IC"
"55 - 59",75,"2020-11-21","IC"
"60 - 64",91,"2020-11-21","IC"
"65 - 69",106,"2020-11-21","IC"
"70 - 74",126,"2020-11-21","IC"
"75 - 79",77,"2020-11-21","IC"
"80 - 84",18,"2020-11-21","IC"
"85 - 89",3,"2020-11-21","IC"
">90",0,"2020-11-21","IC"
"<20",2,"2020-11-22","IC"
"20 - 24",0,"2020-11-22","IC"
"25 - 29",0,"2020-11-22","IC"
"30 - 34",4,"2020-11-22","IC"
"35 - 39",2,"2020-11-22","IC"
"40 - 44",6,"2020-11-22","IC"
"45 - 49",13,"2020-11-22","IC"
"50 - 54",42,"2020-11-22","IC"
"55 - 59",78,"2020-11-22","IC"
"60 - 64",90,"2020-11-22","IC"
"65 - 69",106,"2020-11-22","IC"
"70 - 74",124,"2020-11-22","IC"
"75 - 79",69,"2020-11-22","IC"
"80 - 84",18,"2020-11-22","IC"
"85 - 89",2,"2020-11-22","IC"
">90",0,"2020-11-22","IC"
"<20",2,"2020-11-23","IC"
"20 - 24",0,"2020-11-23","IC"
"25 - 29",0,"2020-11-23","IC"
"30 - 34",4,"2020-11-23","IC"
"35 - 39",2,"2020-11-23","IC"
"40 - 44",5,"2020-11-23","IC"
"45 - 49",11,"2020-11-23","IC"
"50 - 54",41,"2020-11-23","IC"
"55 - 59",77,"2020-11-23","IC"
"60 - 64",95,"2020-11-23","IC"
"65 - 69",104,"2020-11-23","IC"
"70 - 74",129,"2020-11-23","IC"
"75 - 79",68,"2020-11-23","IC"
"80 - 84",16,"2020-11-23","IC"
"85 - 89",2,"2020-11-23","IC"
">90",0,"2020-11-23","IC"
"<20",2,"2020-11-24","IC"
"20 - 24",0,"2020-11-24","IC"
"25 - 29",0,"2020-11-24","IC"
"30 - 34",3,"2020-11-24","IC"
"35 - 39",1,"2020-11-24","IC"
"40 - 44",6,"2020-11-24","IC"
"45 - 49",12,"2020-11-24","IC"
"50 - 54",43,"2020-11-24","IC"
"55 - 59",77,"2020-11-24","IC"
"60 - 64",90,"2020-11-24","IC"
"65 - 69",96,"2020-11-24","IC"
"70 - 74",130,"2020-11-24","IC"
"75 - 79",65,"2020-11-24","IC"
"80 - 84",14,"2020-11-24","IC"
"85 - 89",2,"2020-11-24","IC"
">90",0,"2020-11-24","IC"
"<20",2,"2020-11-25","IC"
"20 - 24",0,"2020-11-25","IC"
"25 - 29",0,"2020-11-25","IC"
"30 - 34",4,"2020-11-25","IC"
"35 - 39",2,"2020-11-25","IC"
"40 - 44",6,"2020-11-25","IC"
"45 - 49",13,"2020-11-25","IC"
"50 - 54",42,"2020-11-25","IC"
"55 - 59",76,"2020-11-25","IC"
"60 - 64",98,"2020-11-25","IC"
"65 - 69",96,"2020-11-25","IC"
"70 - 74",131,"2020-11-25","IC"
"75 - 79",63,"2020-11-25","IC"
"80 - 84",13,"2020-11-25","IC"
"85 - 89",2,"2020-11-25","IC"
">90",0,"2020-11-25","IC"
"<20",2,"2020-11-26","IC"
"20 - 24",0,"2020-11-26","IC"
"25 - 29",1,"2020-11-26","IC"
"30 - 34",5,"2020-11-26","IC"
"35 - 39",3,"2020-11-26","IC"
"40 - 44",6,"2020-11-26","IC"
"45 - 49",12,"2020-11-26","IC"
"50 - 54",40,"2020-11-26","IC"
"55 - 59",76,"2020-11-26","IC"
"60 - 64",95,"2020-11-26","IC"
"65 - 69",98,"2020-11-26","IC"
"70 - 74",129,"2020-11-26","IC"
"75 - 79",62,"2020-11-26","IC"
"80 - 84",13,"2020-11-26","IC"
"85 - 89",2,"2020-11-26","IC"
">90",0,"2020-11-26","IC"
"<20",2,"2020-11-27","IC"
"20 - 24",0,"2020-11-27","IC"
"25 - 29",1,"2020-11-27","IC"
"30 - 34",5,"2020-11-27","IC"
"35 - 39",2,"2020-11-27","IC"
"40 - 44",7,"2020-11-27","IC"
"45 - 49",12,"2020-11-27","IC"
"50 - 54",41,"2020-11-27","IC"
"55 - 59",78,"2020-11-27","IC"
"60 - 64",96,"2020-11-27","IC"
"65 - 69",96,"2020-11-27","IC"
"70 - 74",126,"2020-11-27","IC"
"75 - 79",60,"2020-11-27","IC"
"80 - 84",11,"2020-11-27","IC"
"85 - 89",3,"2020-11-27","IC"
">90",0,"2020-11-27","IC"
"<20",1,"2020-11-28","IC"
"20 - 24",0,"2020-11-28","IC"
"25 - 29",1,"2020-11-28","IC"
"30 - 34",5,"2020-11-28","IC"
"35 - 39",2,"2020-11-28","IC"
"40 - 44",5,"2020-11-28","IC"
"45 - 49",11,"2020-11-28","IC"
"50 - 54",39,"2020-11-28","IC"
"55 - 59",77,"2020-11-28","IC"
"60 - 64",90,"2020-11-28","IC"
"65 - 69",94,"2020-11-28","IC"
"70 - 74",130,"2020-11-28","IC"
"75 - 79",60,"2020-11-28","IC"
"80 - 84",10,"2020-11-28","IC"
"85 - 89",3,"2020-11-28","IC"
">90",0,"2020-11-28","IC"
"<20",1,"2020-11-29","IC"
"20 - 24",0,"2020-11-29","IC"
"25 - 29",1,"2020-11-29","IC"
"30 - 34",5,"2020-11-29","IC"
"35 - 39",3,"2020-11-29","IC"
"40 - 44",5,"2020-11-29","IC"
"45 - 49",10,"2020-11-29","IC"
"50 - 54",39,"2020-11-29","IC"
"55 - 59",76,"2020-11-29","IC"
"60 - 64",90,"2020-11-29","IC"
"65 - 69",95,"2020-11-29","IC"
"70 - 74",124,"2020-11-29","IC"
"75 - 79",57,"2020-11-29","IC"
"80 - 84",9,"2020-11-29","IC"
"85 - 89",3,"2020-11-29","IC"
">90",0,"2020-11-29","IC"
"<20",1,"2020-11-30","IC"
"20 - 24",0,"2020-11-30","IC"
"25 - 29",1,"2020-11-30","IC"
"30 - 34",4,"2020-11-30","IC"
"35 - 39",2,"2020-11-30","IC"
"40 - 44",5,"2020-11-30","IC"
"45 - 49",9,"2020-11-30","IC"
"50 - 54",41,"2020-11-30","IC"
"55 - 59",76,"2020-11-30","IC"
"60 - 64",93,"2020-11-30","IC"
"65 - 69",90,"2020-11-30","IC"
"70 - 74",119,"2020-11-30","IC"
"75 - 79",59,"2020-11-30","IC"
"80 - 84",9,"2020-11-30","IC"
"85 - 89",3,"2020-11-30","IC"
">90",0,"2020-11-30","IC"
"<20",1,"2020-12-01","IC"
"20 - 24",0,"2020-12-01","IC"
"25 - 29",1,"2020-12-01","IC"
"30 - 34",3,"2020-12-01","IC"
"35 - 39",3,"2020-12-01","IC"
"40 - 44",5,"2020-12-01","IC"
"45 - 49",8,"2020-12-01","IC"
"50 - 54",42,"2020-12-01","IC"
"55 - 59",73,"2020-12-01","IC"
"60 - 64",87,"2020-12-01","IC"
"65 - 69",90,"2020-12-01","IC"
"70 - 74",119,"2020-12-01","IC"
"75 - 79",60,"2020-12-01","IC"
"80 - 84",9,"2020-12-01","IC"
"85 - 89",3,"2020-12-01","IC"
">90",0,"2020-12-01","IC"
"<20",2,"2020-12-02","IC"
"20 - 24",0,"2020-12-02","IC"
"25 - 29",2,"2020-12-02","IC"
"30 - 34",3,"2020-12-02","IC"
"35 - 39",6,"2020-12-02","IC"
"40 - 44",5,"2020-12-02","IC"
"45 - 49",8,"2020-12-02","IC"
"50 - 54",42,"2020-12-02","IC"
"55 - 59",71,"2020-12-02","IC"
"60 - 64",90,"2020-12-02","IC"
"65 - 69",90,"2020-12-02","IC"
"70 - 74",112,"2020-12-02","IC"
"75 - 79",57,"2020-12-02","IC"
"80 - 84",11,"2020-12-02","IC"
"85 - 89",2,"2020-12-02","IC"
">90",0,"2020-12-02","IC"
"<20",2,"2020-12-03","IC"
"20 - 24",0,"2020-12-03","IC"
"25 - 29",2,"2020-12-03","IC"
"30 - 34",3,"2020-12-03","IC"
"35 - 39",4,"2020-12-03","IC"
"40 - 44",5,"2020-12-03","IC"
"45 - 49",11,"2020-12-03","IC"
"50 - 54",39,"2020-12-03","IC"
"55 - 59",67,"2020-12-03","IC"
"60 - 64",82,"2020-12-03","IC"
"65 - 69",91,"2020-12-03","IC"
"70 - 74",115,"2020-12-03","IC"
"75 - 79",53,"2020-12-03","IC"
"80 - 84",11,"2020-12-03","IC"
"85 - 89",2,"2020-12-03","IC"
">90",0,"2020-12-03","IC"
"<20",2,"2020-12-04","IC"
"20 - 24",0,"2020-12-04","IC"
"25 - 29",2,"2020-12-04","IC"
"30 - 34",4,"2020-12-04","IC"
"35 - 39",4,"2020-12-04","IC"
"40 - 44",6,"2020-12-04","IC"
"45 - 49",14,"2020-12-04","IC"
"50 - 54",38,"2020-12-04","IC"
"55 - 59",69,"2020-12-04","IC"
"60 - 64",82,"2020-12-04","IC"
"65 - 69",89,"2020-12-04","IC"
"70 - 74",114,"2020-12-04","IC"
"75 - 79",51,"2020-12-04","IC"
"80 - 84",11,"2020-12-04","IC"
"85 - 89",2,"2020-12-04","IC"
">90",0,"2020-12-04","IC"
"<20",2,"2020-12-06","IC"
"20 - 24",0,"2020-12-06","IC"
"25 - 29",1,"2020-12-06","IC"
"30 - 34",5,"2020-12-06","IC"
"35 - 39",5,"2020-12-06","IC"
"40 - 44",7,"2020-12-06","IC"
"45 - 49",14,"2020-12-06","IC"
"50 - 54",42,"2020-12-06","IC"
"55 - 59",71,"2020-12-06","IC"
"60 - 64",80,"2020-12-06","IC"
"65 - 69",90,"2020-12-06","IC"
"70 - 74",112,"2020-12-06","IC"
"75 - 79",53,"2020-12-06","IC"
"80 - 84",10,"2020-12-06","IC"
"85 - 89",2,"2020-12-06","IC"
">90",0,"2020-12-06","IC"
"<20",1,"2020-12-07","IC"
"20 - 24",0,"2020-12-07","IC"
"25 - 29",1,"2020-12-07","IC"
"30 - 34",4,"2020-12-07","IC"
"35 - 39",6,"2020-12-07","IC"
"40 - 44",8,"2020-12-07","IC"
"45 - 49",13,"2020-12-07","IC"
"50 - 54",38,"2020-12-07","IC"
"55 - 59",72,"2020-12-07","IC"
"60 - 64",82,"2020-12-07","IC"
"65 - 69",90,"2020-12-07","IC"
"70 - 74",110,"2020-12-07","IC"
"75 - 79",53,"2020-12-07","IC"
"80 - 84",11,"2020-12-07","IC"
"85 - 89",2,"2020-12-07","IC"
">90",0,"2020-12-07","IC"
"<20",1,"2020-12-08","IC"
"20 - 24",0,"2020-12-08","IC"
"25 - 29",2,"2020-12-08","IC"
"30 - 34",4,"2020-12-08","IC"
"35 - 39",6,"2020-12-08","IC"
"40 - 44",5,"2020-12-08","IC"
"45 - 49",13,"2020-12-08","IC"
"50 - 54",37,"2020-12-08","IC"
"55 - 59",70,"2020-12-08","IC"
"60 - 64",78,"2020-12-08","IC"
"65 - 69",92,"2020-12-08","IC"
"70 - 74",107,"2020-12-08","IC"
"75 - 79",58,"2020-12-08","IC"
"80 - 84",11,"2020-12-08","IC"
"85 - 89",2,"2020-12-08","IC"
">90",0,"2020-12-08","IC"
"<20",1,"2020-12-09","IC"
"20 - 24",0,"2020-12-09","IC"
"25 - 29",2,"2020-12-09","IC"
"30 - 34",5,"2020-12-09","IC"
"35 - 39",5,"2020-12-09","IC"
"40 - 44",4,"2020-12-09","IC"
"45 - 49",12,"2020-12-09","IC"
"50 - 54",35,"2020-12-09","IC"
"55 - 59",69,"2020-12-09","IC"
"60 - 64",77,"2020-12-09","IC"
"65 - 69",91,"2020-12-09","IC"
"70 - 74",104,"2020-12-09","IC"
"75 - 79",59,"2020-12-09","IC"
"80 - 84",11,"2020-12-09","IC"
"85 - 89",1,"2020-12-09","IC"
">90",0,"2020-12-09","IC"
"<20",1,"2020-12-10","IC"
"20 - 24",0,"2020-12-10","IC"
"25 - 29",1,"2020-12-10","IC"
"30 - 34",5,"2020-12-10","IC"
"35 - 39",5,"2020-12-10","IC"
"40 - 44",6,"2020-12-10","IC"
"45 - 49",11,"2020-12-10","IC"
"50 - 54",36,"2020-12-10","IC"
"55 - 59",68,"2020-12-10","IC"
"60 - 64",78,"2020-12-10","IC"
"65 - 69",96,"2020-12-10","IC"
"70 - 74",111,"2020-12-10","IC"
"75 - 79",61,"2020-12-10","IC"
"80 - 84",12,"2020-12-10","IC"
"85 - 89",1,"2020-12-10","IC"
">90",0,"2020-12-10","IC"
"<20",1,"2020-12-11","IC"
"20 - 24",0,"2020-12-11","IC"
"25 - 29",0,"2020-12-11","IC"
"30 - 34",4,"2020-12-11","IC"
"35 - 39",4,"2020-12-11","IC"
"40 - 44",6,"2020-12-11","IC"
"45 - 49",10,"2020-12-11","IC"
"50 - 54",35,"2020-12-11","IC"
"55 - 59",67,"2020-12-11","IC"
"60 - 64",73,"2020-12-11","IC"
"65 - 69",98,"2020-12-11","IC"
"70 - 74",117,"2020-12-11","IC"
"75 - 79",60,"2020-12-11","IC"
"80 - 84",11,"2020-12-11","IC"
"85 - 89",1,"2020-12-11","IC"
">90",0,"2020-12-11","IC"
"<20",2,"2020-12-12","IC"
"20 - 24",0,"2020-12-12","IC"
"25 - 29",1,"2020-12-12","IC"
"30 - 34",4,"2020-12-12","IC"
"35 - 39",4,"2020-12-12","IC"
"40 - 44",6,"2020-12-12","IC"
"45 - 49",8,"2020-12-12","IC"
"50 - 54",38,"2020-12-12","IC"
"55 - 59",67,"2020-12-12","IC"
"60 - 64",77,"2020-12-12","IC"
"65 - 69",96,"2020-12-12","IC"
"70 - 74",117,"2020-12-12","IC"
"75 - 79",62,"2020-12-12","IC"
"80 - 84",13,"2020-12-12","IC"
"85 - 89",1,"2020-12-12","IC"
">90",0,"2020-12-12","IC"
"<20",2,"2020-12-13","IC"
"20 - 24",1,"2020-12-13","IC"
"25 - 29",1,"2020-12-13","IC"
"30 - 34",4,"2020-12-13","IC"
"35 - 39",4,"2020-12-13","IC"
"40 - 44",5,"2020-12-13","IC"
"45 - 49",9,"2020-12-13","IC"
"50 - 54",36,"2020-12-13","IC"
"55 - 59",68,"2020-12-13","IC"
"60 - 64",77,"2020-12-13","IC"
"65 - 69",98,"2020-12-13","IC"
"70 - 74",122,"2020-12-13","IC"
"75 - 79",56,"2020-12-13","IC"
"80 - 84",15,"2020-12-13","IC"
"85 - 89",2,"2020-12-13","IC"
">90",0,"2020-12-13","IC"
"<20",2,"2020-12-14","IC"
"20 - 24",0,"2020-12-14","IC"
"25 - 29",3,"2020-12-14","IC"
"30 - 34",5,"2020-12-14","IC"
"35 - 39",4,"2020-12-14","IC"
"40 - 44",5,"2020-12-14","IC"
"45 - 49",6,"2020-12-14","IC"
"50 - 54",39,"2020-12-14","IC"
"55 - 59",69,"2020-12-14","IC"
"60 - 64",80,"2020-12-14","IC"
"65 - 69",101,"2020-12-14","IC"
"70 - 74",127,"2020-12-14","IC"
"75 - 79",58,"2020-12-14","IC"
"80 - 84",13,"2020-12-14","IC"
"85 - 89",3,"2020-12-14","IC"
">90",0,"2020-12-14","IC"
"<20",2,"2020-12-15","IC"
"20 - 24",0,"2020-12-15","IC"
"25 - 29",2,"2020-12-15","IC"
"30 - 34",4,"2020-12-15","IC"
"35 - 39",3,"2020-12-15","IC"
"40 - 44",6,"2020-12-15","IC"
"45 - 49",12,"2020-12-15","IC"
"50 - 54",40,"2020-12-15","IC"
"55 - 59",68,"2020-12-15","IC"
"60 - 64",85,"2020-12-15","IC"
"65 - 69",109,"2020-12-15","IC"
"70 - 74",127,"2020-12-15","IC"
"75 - 79",60,"2020-12-15","IC"
"80 - 84",12,"2020-12-15","IC"
"85 - 89",1,"2020-12-15","IC"
">90",0,"2020-12-15","IC"
"<20",1,"2020-12-16","IC"
"20 - 24",0,"2020-12-16","IC"
"25 - 29",3,"2020-12-16","IC"
"30 - 34",3,"2020-12-16","IC"
"35 - 39",4,"2020-12-16","IC"
"40 - 44",6,"2020-12-16","IC"
"45 - 49",9,"2020-12-16","IC"
"50 - 54",40,"2020-12-16","IC"
"55 - 59",62,"2020-12-16","IC"
"60 - 64",91,"2020-12-16","IC"
"65 - 69",110,"2020-12-16","IC"
"70 - 74",127,"2020-12-16","IC"
"75 - 79",67,"2020-12-16","IC"
"80 - 84",14,"2020-12-16","IC"
"85 - 89",0,"2020-12-16","IC"
">90",0,"2020-12-16","IC"
"<20",1,"2020-12-17","IC"
"20 - 24",0,"2020-12-17","IC"
"25 - 29",3,"2020-12-17","IC"
"30 - 34",4,"2020-12-17","IC"
"35 - 39",3,"2020-12-17","IC"
"40 - 44",6,"2020-12-17","IC"
"45 - 49",8,"2020-12-17","IC"
"50 - 54",37,"2020-12-17","IC"
"55 - 59",64,"2020-12-17","IC"
"60 - 64",90,"2020-12-17","IC"
"65 - 69",118,"2020-12-17","IC"
"70 - 74",130,"2020-12-17","IC"
"75 - 79",69,"2020-12-17","IC"
"80 - 84",14,"2020-12-17","IC"
"85 - 89",0,"2020-12-17","IC"
">90",0,"2020-12-17","IC"
"<20",1,"2020-12-18","IC"
"20 - 24",0,"2020-12-18","IC"
"25 - 29",3,"2020-12-18","IC"
"30 - 34",5,"2020-12-18","IC"
"35 - 39",3,"2020-12-18","IC"
"40 - 44",6,"2020-12-18","IC"
"45 - 49",12,"2020-12-18","IC"
"50 - 54",36,"2020-12-18","IC"
"55 - 59",69,"2020-12-18","IC"
"60 - 64",96,"2020-12-18","IC"
"65 - 69",122,"2020-12-18","IC"
"70 - 74",129,"2020-12-18","IC"
"75 - 79",67,"2020-12-18","IC"
"80 - 84",15,"2020-12-18","IC"
"85 - 89",1,"2020-12-18","IC"
">90",0,"2020-12-18","IC"
"<20",1,"2020-12-19","IC"
"20 - 24",0,"2020-12-19","IC"
"25 - 29",3,"2020-12-19","IC"
"30 - 34",5,"2020-12-19","IC"
"35 - 39",4,"2020-12-19","IC"
"40 - 44",6,"2020-12-19","IC"
"45 - 49",12,"2020-12-19","IC"
"50 - 54",39,"2020-12-19","IC"
"55 - 59",65,"2020-12-19","IC"
"60 - 64",96,"2020-12-19","IC"
"65 - 69",123,"2020-12-19","IC"
"70 - 74",132,"2020-12-19","IC"
"75 - 79",71,"2020-12-19","IC"
"80 - 84",15,"2020-12-19","IC"
"85 - 89",0,"2020-12-19","IC"
">90",0,"2020-12-19","IC"
"<20",2,"2020-12-20","IC"
"20 - 24",0,"2020-12-20","IC"
"25 - 29",5,"2020-12-20","IC"
"30 - 34",5,"2020-12-20","IC"
"35 - 39",3,"2020-12-20","IC"
"40 - 44",5,"2020-12-20","IC"
"45 - 49",12,"2020-12-20","IC"
"50 - 54",41,"2020-12-20","IC"
"55 - 59",63,"2020-12-20","IC"
"60 - 64",102,"2020-12-20","IC"
"65 - 69",129,"2020-12-20","IC"
"70 - 74",137,"2020-12-20","IC"
"75 - 79",69,"2020-12-20","IC"
"80 - 84",14,"2020-12-20","IC"
"85 - 89",0,"2020-12-20","IC"
">90",0,"2020-12-20","IC"
"<20",2,"2020-12-21","IC"
"20 - 24",1,"2020-12-21","IC"
"25 - 29",1,"2020-12-21","IC"
"30 - 34",5,"2020-12-21","IC"
"35 - 39",4,"2020-12-21","IC"
"40 - 44",7,"2020-12-21","IC"
"45 - 49",14,"2020-12-21","IC"
"50 - 54",42,"2020-12-21","IC"
"55 - 59",71,"2020-12-21","IC"
"60 - 64",103,"2020-12-21","IC"
"65 - 69",134,"2020-12-21","IC"
"70 - 74",143,"2020-12-21","IC"
"75 - 79",72,"2020-12-21","IC"
"80 - 84",15,"2020-12-21","IC"
"85 - 89",0,"2020-12-21","IC"
">90",0,"2020-12-21","IC"
"<20",1,"2020-12-22","IC"
"20 - 24",1,"2020-12-22","IC"
"25 - 29",1,"2020-12-22","IC"
"30 - 34",3,"2020-12-22","IC"
"35 - 39",4,"2020-12-22","IC"
"40 - 44",7,"2020-12-22","IC"
"45 - 49",14,"2020-12-22","IC"
