STATcube

"Deceased in Austria by calendar week (excl. abroad) from 2000 (Q)"
"Calendar week"
"Counting: Number of deaths"

Filters:
"Default Summation","Number of deaths"


"Calendar week",
"6. Calendar week 2004 (week from 2.2.2004 to 8.2.2004)",1614,,
"7. Calendar week 2004 (week from 9.2.2004 to 15.2.2004)",1581,,
"8. Calendar week 2004 (week from 16.2.2004 to 22.2.2004)",1521,,
"9. Calendar week 2004 (week from 23.2.2004 to 29.2.2004)",1604,,
"10. Calendar week 2004 (week from 1.3.2004 to 7.3.2004)",1526,,
"11. Calendar week 2004 (week from 8.3.2004 to 14.3.2004)",1473,,
"12. Calendar week 2004 (week from 15.3.2004 to 21.3.2004)",1439,,
"13. Calendar week 2004 (week from 22.3.2004 to 28.3.2004)",1480,,
"14. Calendar week 2004 (week from 29.3.2004 to 4.4.2004)",1431,,
"15. Calendar week 2004 (week from 5.4.2004 to 11.4.2004)",1408,,
"16. Calendar week 2004 (week from 12.4.2004 to 18.4.2004)",1404,,
"17. Calendar week 2004 (week from 19.4.2004 to 25.4.2004)",1371,,
"18. Calendar week 2004 (week from 26.4.2004 to 2.5.2004)",1390,,
"19. Calendar week 2004 (week from 3.5.2004 to 9.5.2004)",1272,,
"20. Calendar week 2004 (week from 10.5.2004 to 16.5.2004)",1386,,
"21. Calendar week 2004 (week from 17.5.2004 to 23.5.2004)",1340,,
"22. Calendar week 2004 (week from 24.5.2004 to 30.5.2004)",1328,,
"23. Calendar week 2004 (week from 31.5.2004 to 6.6.2004)",1352,,
"24. Calendar week 2004 (week from 7.6.2004 to 13.6.2004)",1370,,
"25. Calendar week 2004 (week from 14.6.2004 to 20.6.2004)",1317,,
"26. Calendar week 2004 (week from 21.6.2004 to 27.6.2004)",1307,,
"27. Calendar week 2004 (week from 28.6.2004 to 4.7.2004)",1307,,
"28. Calendar week 2004 (week from 5.7.2004 to 11.7.2004)",1308,,
"29. Calendar week 2004 (week from 12.7.2004 to 18.7.2004)",1302,,
"30. Calendar week 2004 (week from 19.7.2004 to 25.7.2004)",1401,,
"31. Calendar week 2004 (week from 26.7.2004 to 1.8.2004)",1317,,
"32. Calendar week 2004 (week from 2.8.2004 to 8.8.2004)",1335,,
"33. Calendar week 2004 (week from 9.8.2004 to 15.8.2004)",1299,,
"34. Calendar week 2004 (week from 16.8.2004 to 22.8.2004)",1289,,
"35. Calendar week 2004 (week from 23.8.2004 to 29.8.2004)",1226,,
"36. Calendar week 2004 (week from 30.8.2004 to 5.9.2004)",1287,,
"37. Calendar week 2004 (week from 6.9.2004 to 12.9.2004)",1292,,
"38. Calendar week 2004 (week from 13.9.2004 to 19.9.2004)",1232,,
"39. Calendar week 2004 (week from 20.9.2004 to 26.9.2004)",1294,,
"40. Calendar week 2004 (week from 27.9.2004 to 3.10.2004)",1352,,
"41. Calendar week 2004 (week from 4.10.2004 to 10.10.2004)",1341,,
"42. Calendar week 2004 (week from 11.10.2004 to 17.10.2004)",1369,,
"43. Calendar week 2004 (week from 18.10.2004 to 24.10.2004)",1475,,
