GemeenteCode,GemeenteNaam,SchoolRegio
GM1701,Westerveld,noord
GM1702,Sint Anthonis,zuid
GM1705,Lingewaard,zuid
GM1706,Cranendonck,zuid
GM1708,Steenwijkerland,noord
GM1709,Moerdijk,zuid
GM1711,Echt-Susteren,zuid
GM1714,Sluis,zuid
GM1719,Drimmelen,zuid
GM1721,Bernheze,zuid
GM1723,Alphen-Chaam,zuid
GM1724,Bergeijk,zuid
GM1728,Bladel,zuid
GM1729,Gulpen-Wittem,zuid
GM1730,Tynaarlo,noord
GM1731,Midden-Drenthe,noord
GM1734,Overbetuwe,zuid
GM1735,Hof van Twente,noord
GM1740,Neder-Betuwe,midden
GM1742,Rijssen-Holten,noord
