name,safetyRegion,Gemeentecode,0-9,okt-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
Rhenen,VR09,GM0340,2261,2605,2169,2190,2453,2902,2430,2029,899,181
Ridderkerk,VR17,GM0597,4692,4766,5008,5181,5218,6901,5982,5294,2673,474
Rijssen-Holten,VR05,GM1742,4839,5451,4498,4339,4553,5130,4127,3284,1637,319
Rijswijk (ZH.),VR15,GM0603,6491,5070,5820,7948,6742,7143,6565,5144,2872,655
Roerdalen,VR23,GM1669,1640,1978,1823,2113,2331,3454,3393,2584,1072,186
Roermond,VR23,GM0957,5492,5977,6703,7377,7293,8901,7868,5754,2446,449
Roosendaal,VR20,GM1674,7440,8508,8977,8759,9604,11977,10109,7875,3424,578
Rotterdam,VR17,GM0599,70900,68239,111585,99955,82574,82483,64655,44713,21174,4879
Rozendaal,VR07,GM0277,190,243,83,125,239,271,232,198,99,24
Rucphen,VR20,GM0840,1908,2165,2404,2530,2666,4189,3506,2447,952,111
s-Gravenhage,VR15,GM0518,62346,61365,79598,83319,78262,72304,53309,36093,15540,3702
s-Hertogenbosch,VR21,GM0796,15591,16597,21042,20915,20219,22606,18705,13000,5459,977
Schagen,VR10,GM0441,4132,5740,4647,4423,5866,7071,6409,5749,2094,352
Scherpenzeel,VR07,GM0279,1279,1264,1245,1160,1184,1311,1055,932,384,66
Schiedam,VR17,GM0606,8338,8389,10997,10796,10604,11146,8814,6206,2816,624
Schiermonnikoog,VR02,GM0088,63,74,96,86,118,158,154,125,60,13
Schouwen-Duiveland,VR19,GM1676,3031,3520,3120,3206,3827,5303,5044,4396,1973,419
Simpelveld,VR24,GM0965,855,1055,910,1107,1236,1747,1639,1346,603,57
Sint-Michielsgestel,VR21,GM0845,3032,3649,2649,3028,3864,4596,3858,2938,1397,197
Sint Anthonis,VR21,GM1702,1081,1377,1284,1128,1288,2057,1704,1028,611,106
Sittard-Geleen,VR24,GM1883,7452,8835,10433,10256,10810,15212,13763,9935,4899,834
Sliedrecht,VR18,GM0610,3053,2998,3113,3191,2972,3314,2837,2277,1194,271
Sluis,VR19,GM1714,1875,2147,2112,2346,2612,3687,3575,3081,1442,333
Smallingerland,VR02,GM0090,5751,6929,6122,6483,6917,8406,6808,5739,2549,446
Soest,VR09,GM0342,4719,5799,4578,4738,5993,7162,5889,5038,2248,442
Someren,VR22,GM0847,1902,2031,2344,2296,2157,3245,2575,1792,896,130
Son en Breugel,VR22,GM0848,1870,2115,1627,1932,2188,2692,1847,1747,1118,186
Stadskanaal,VR01,GM0037,2785,3532,3087,3162,3831,4915,4384,3811,1866,313
Staphorst,VR04,GM0180,2542,2676,2207,2017,1921,2207,1677,1313,494,91
Stede Broec,VR10,GM0532,2309,2578,2387,2428,2732,3100,2777,2541,768,106
Steenbergen,VR20,GM0851,2173,2528,2758,2862,2996,3997,3344,2543,975,240
Steenwijkerland,VR04,GM1708,4445,5283,4534,4676,5369,6708,6101,4582,2057,371
Stein (L.),VR24,GM0971,1847,2481,2264,2541,2970,4074,4012,3245,1342,231
Stichtse Vecht,VR09,GM1904,7105,7711,6276,7389,8454,10106,8591,6345,2514,440
Súdwest-Fryslân,VR02,GM1900,9001,11458,8800,9301,11018,13923,12000,9640,4144,702
Terneuzen,VR19,GM0715,4878,5696,5363,5817,6746,8373,7491,6554,2909,599
Terschelling,VR02,GM0093,365,504,735,495,595,731,625,570,222,46
Texel,VR10,GM0448,1117,1391,1373,1309,1530,2247,2195,1697,598,118
Teylingen,VR16,GM1525,3853,4704,3976,4164,4791,6111,4613,3246,1682,300
