"","Municipality_name","Gemeente","Totaal","Municipality_code","population","Mondkapje_publiekeruimte","Noodverordening_percentage","Verbod_groepsvorming","Verbod_alcohol","Veilige_afstand","Mondkapje_OV","Totaal_percentage"
"219","Oldambt","Oldambt",165,"GM1895",38270,0,0.08,0.04,0,0.01,0,0.43
"220","Oldebroek","Oldebroek",75,"GM0269",23821,0,0.11,0.03,0,0,0,0.31
"221","Oldenzaal","Oldenzaal",198,"GM0173",31691,0,0.02,0.02,0,0.16,0.02,0.62
"222","Olst-Wijhe","Olst-Wijhe",34,"GM1773",18379,0,0.05,0.01,0,0.01,0,0.18
"223","Ommen","Ommen",54,"GM0175",18298,0,0.11,0,0,0,0,0.3
"224","Oost Gelre","Oost Gelre",84,"GM1586",29598,0,0.09,0,0,0.04,0,0.28
"225","Oosterhout","Oosterhout",319,"GM0826",56241,0.01,0.04,0.06,0,0.14,0,0.57
"226","Ooststellingwerf","Ooststellingwerf",44,"GM0085",25476,0,0.02,0,0,0.02,0,0.17
"227","Oostzaan","Oostzaan",75,"GM0431",9656,0,0.12,0,0,0.09,0.07,0.78
"228","Opmeer","Opmeer",25,"GM0432",11985,0,0.08,0,0,0,0,0.21
"229","Opsterland","Opsterland",52,"GM0086",29802,0,0,0.01,0,0,0,0.17
"230","Oss","Oss",819,"GM0828",92640,0,0.16,0.04,0,0.09,0,0.88
"231","Oude IJsselstreek","Oude IJsselstreek",86,"GM1509",39281,0,0.08,0,0,0,0,0.22
"232","Ouder-Amstel","Ouder-Amstel",153,"GM0437",14092,0.1,0.23,0.2,0,0.06,0,1.09
"233","Oudewater","Oudewater",44,"GM0589",10150,0,0.02,0.06,0,0.03,0,0.43
"234","Overbetuwe","Overbetuwe",192,"GM1734",48255,0,0.11,0.02,0,0.07,0,0.4
"235","Papendrecht","Papendrecht",145,"GM0590",32176,0,0.15,0.04,0,0.02,0,0.45
"236","Peel en Maas","Peel en Maas",122,"GM1894",43741,0,0.1,0.01,0,0.01,0,0.28
"237","Pekela","Pekela",32,"GM0765",12119,0,0.03,0,0.01,0,0,0.26
"238","Pijnacker-Nootdorp","Pijnacker-Nootdorp",167,"GM1926",55788,0,0.1,0.01,0,0.03,0,0.3
"239","Purmerend","Purmerend",464,"GM0439",81551,0,0.15,0.05,0,0.04,0,0.57
"240","Putten","Putten",153,"GM0273",24392,0,0.13,0.05,0,0.07,0,0.63
"241","Raalte","Raalte",88,"GM0177",37937,0,0.04,0,0.01,0.03,0,0.23
"242","Reimerswaal","Reimerswaal",107,"GM0703",22900,0.02,0.07,0.03,0,0.04,0,0.47
"243","Renkum","Renkum",82,"GM0274",31409,0,0.05,0,0,0.04,0,0.26
"244","Renswoude","Renswoude",26,"GM0339",5581,0,0.16,0,0,0,0,0.47
"245","Reusel-De Mierden","Reusel-De Mierden",46,"GM1667",13139,0.01,0.04,0,0,0,0,0.35
"246","Rheden","Rheden",193,"GM0275",43457,0,0.1,0,0,0.03,0,0.44
"247","Rhenen","Rhenen",83,"GM0340",20192,0,0.06,0,0.02,0,0,0.41
"248","Ridderkerk","Ridderkerk",204,"GM0597",46653,0,0.17,0.01,0,0.02,0,0.44
"249","Rijssen-Holten","Rijssen-Holten",88,"GM1742",38212,0,0.04,0.02,0,0.02,0,0.23
"250","Rijswijk","Rijswijk",411,"GM0603",55313,0,0.12,0.09,0,0.04,0,0.74
"251","Roerdalen","Roerdalen",15,"GM1669",20617,0,0.01,0,0,0,0,0.07
"252","Roermond","Roermond",512,"GM0957",58769,0,0.15,0.01,0,0.02,0,0.87
"253","Roosendaal","Roosendaal",567,"GM1674",77194,0,0.1,0.03,0,0.08,0,0.73
"254","Rotterdam","Rotterdam",9180,"GM0599",652525,0.03,0.38,0.09,0,0.06,0,1.41
"255","Rozendaal","Rozendaal",4,"GM0277",1730,0,0.23,0,0,0,0,0.23
"256","Rucphen","Rucphen",58,"GM0840",23116,0,0.03,0,0,0.03,0,0.25
"257","Schagen","Schagen",180,"GM0441",46592,0,0.1,0.02,0,0.01,0,0.39
"258","Scherpenzeel","Scherpenzeel",13,"GM0279",10188,0,0.05,0,0,0,0,0.13
"259","Schiedam","Schiedam",605,"GM0606",79491,0.02,0.2,0.09,0.01,0.02,0,0.76
"260","Schiermonnikoog","Schiermonnikoog",3,"GM0088",913,0,0,0,0,0,0,0.33
"261","Schouwen-Duiveland","Schouwen-Duiveland",107,"GM1676",34084,0,0.07,0,0,0.01,0,0.31
"262","Simpelveld","Simpelveld",16,"GM0965",10476,0,0.05,0.06,0,0,0,0.15
"263","Sint-Michielsgestel","Sint-Michielsgestel",159,"GM0845",29554,0,0.19,0.01,0,0.01,0,0.54
"264","Sint Anthonis","Sint Anthonis",15,"GM1702",11733,0,0,0.03,0,0,0,0.13
"265","Sittard-Geleen","Sittard-Geleen",626,"GM1883",91687,0,0.13,0.03,0.01,0.05,0,0.68
"266","Sliedrecht","Sliedrecht",129,"GM0610",25603,0,0.14,0.02,0,0.03,0,0.5
"267","Sluis","Sluis",77,"GM1714",23171,0,0.07,0,0,0.02,0,0.33
"268","Smallingerland","Smallingerland",303,"GM0090",55985,0,0.05,0.02,0,0.04,0,0.54
"269","Soest","Soest",177,"GM0342",46869,0,0.04,0.03,0,0.01,0,0.38
"270","Someren","Someren",70,"GM0847",19471,0,0.11,0.05,0,0.04,0,0.36
"271","Son en Breugel","Son en Breugel",118,"GM0848",17603,0,0.11,0.18,0.02,0.09,0,0.67
"272","Stadskanaal","Stadskanaal",175,"GM0037",31726,0,0.13,0.03,0.01,0.03,0,0.55
