Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-06-29T11:14:39Z,2021-05-24,B.1.525,Eta,VOI,1269,0
1,2021-06-29T11:14:39Z,2021-05-24,B.1.427/B.1.429,Epsilon,VOI,1269,0
1,2021-06-29T11:14:39Z,2021-05-24,P.3,Theta,VOI,1269,0
1,2021-06-29T11:14:39Z,2021-05-24,B.1.616,"",VOI,1269,0
1,2021-06-29T11:14:39Z,2021-05-24,B.1.617.1,Kappa,VOI,1269,0
1,2021-06-29T11:14:39Z,2021-05-24,B.1.620,"",VOI,1269,0
1,2021-06-29T11:14:39Z,2021-05-24,B.1.621,"",VOI,1269,0
1,2021-06-29T11:14:39Z,2021-05-31,B.1.1.7,Alpha,VOC,1179,1102
1,2021-06-29T11:14:39Z,2021-05-31,B.1.1.7+S:E484K,"",VOC,1179,3
1,2021-06-29T11:14:39Z,2021-05-31,B.1.351,Beta,VOC,1179,0
